meal_id,date,meal_time,food,portion_size,had_coffee,sleep_quality,stress_level,location,symptom,symptom_severity,hours_after_meal
87,2024-11-04,Afternoon,bread,Medium,Yes,Poor,High,Office,Brain fog,5,4
88,2024-11-05,Morning,whole wheat bread,Large,Yes,Okay,Low,Street,Brain fog,6,2
89,2024-11-05,Afternoon,rice,Small,Yes,Okay,Low,Street,Acidity,5,4
90,2024-11-06,Morning,vegetables,Medium,Yes,Good,Medium,Street,None,0,0
91,2024-11-06,Afternoon,boiled eggs,Small,No,Good,Medium,Home,None,0,0
92,2024-11-06,Evening,biryani,Medium,Yes,Good,Medium,Street,None,0,0
93,2024-11-07,Morning,dosa,Large,No,Poor,High,Home,None,0,0
94,2024-11-07,Afternoon,biryani,Large,Yes,Poor,High,Home,Acidity,6,4
95,2024-11-08,Morning,rice,Medium,Yes,Good,High,Restaurant,Acidity,10,1
96,2024-11-08,Afternoon,omelette,Small,Yes,Good,High,Restaurant,Fatigue,6,3
97,2024-11-09,Morning,chole,Medium,Yes,Good,Low,Office,Bloating,6,4
98,2024-11-09,Afternoon,whole wheat bread,Medium,No,Good,Low,Restaurant,None,0,0
99,2024-11-10,Morning,upma,Medium,No,Poor,High,Street,Nausea,3,4
100,2024-11-10,Afternoon,paneer curry,Large,Yes,Poor,High,Office,Bloating,4,2
101,2024-11-10,Evening,boiled eggs,Small,No,Poor,High,Restaurant,None,0,0
102,2024-11-11,Morning,fish,Large,No,Okay,Low,Office,None,0,0
103,2024-11-11,Afternoon,upma,Medium,Yes,Okay,Low,Home,None,0,0
104,2024-11-12,Morning,whole wheat bread,Large,No,Good,Medium,Office,None,0,0
105,2024-11-12,Afternoon,chicken curry,Medium,Yes,Good,Medium,Home,None,0,0
106,2024-11-13,Morning,idli,Small,Yes,Good,Low,Home,None,0,0
107,2024-11-13,Afternoon,fish,Medium,Yes,Good,Low,Street,Fatigue,6,3
108,2024-11-13,Evening,curd,Small,Yes,Good,Low,Restaurant,Bloating,9,2
109,2024-11-14,Morning,vegetables,Medium,No,Poor,Low,Office,None,0,0
110,2024-11-14,Afternoon,chicken curry,Medium,No,Poor,Low,Restaurant,None,0,0
111,2024-11-15,Morning,fish,Medium,No,Okay,High,Office,None,0,0
112,2024-11-15,Afternoon,omelette,Medium,Yes,Okay,High,Office,Bloating,8,2
113,2024-11-15,Evening,chicken curry,Small,Yes,Okay,High,Restaurant,None,0,0
114,2024-11-16,Morning,milk,Large,Yes,Good,Low,Street,Nausea,7,1
115,2024-11-16,Afternoon,rajma,Medium,Yes,Good,Low,Street,Bowel movement,4,3
116,2024-11-17,Morning,curd,Medium,No,Poor,High,Office,None,0,0
117,2024-11-17,Afternoon,chole,Medium,No,Poor,High,Home,Bloating,4,4
118,2024-11-18,Morning,chicken curry,Large,Yes,Good,High,Restaurant,Nausea,9,4
119,2024-11-18,Afternoon,vegetables,Small,Yes,Good,High,Home,None,0,0
120,2024-11-19,Morning,upma,Medium,Yes,Good,High,Restaurant,Fatigue,8,1
121,2024-11-19,Afternoon,idli,Medium,No,Good,High,Street,Bloating,7,4
122,2024-11-19,Evening,rajma,Small,No,Good,High,Street,Bowel movement,4,1
123,2024-11-20,Morning,biryani,Large,No,Okay,High,Restaurant,Gas,9,3
124,2024-11-20,Afternoon,paratha,Large,Yes,Okay,High,Home,Brain fog,5,3
125,2024-11-21,Morning,fish,Medium,Yes,Okay,Medium,Office,Fatigue,6,1
126,2024-11-21,Afternoon,biryani,Medium,Yes,Okay,Medium,Home,None,0,0
127,2024-11-22,Morning,bread,Small,Yes,Poor,Low,Home,Brain fog,4,4
128,2024-11-22,Afternoon,dal,Medium,Yes,Poor,Low,Street,None,0,0
129,2024-11-22,Evening,beans curry,Medium,Yes,Poor,Low,Office,None,0,0
130,2024-11-23,Morning,roti,Large,Yes,Okay,Medium,Restaurant,Bloating,9,3
131,2024-11-23,Afternoon,egg curry,Medium,No,Okay,Medium,Office,None,0,0
132,2024-11-24,Morning,beans curry,Medium,No,Okay,Medium,Street,Gas,8,4
133,2024-11-24,Afternoon,paratha,Medium,No,Okay,Medium,Restaurant,None,0,0
134,2024-11-25,Morning,egg curry,Large,Yes,Okay,High,Home,None,0,0
135,2024-11-25,Afternoon,chicken curry,Small,Yes,Okay,High,Street,Fatigue,10,2
136,2024-11-25,Evening,naan,Small,No,Okay,High,Office,None,0,0
137,2024-11-26,Morning,paneer curry,Medium,No,Okay,Medium,Restaurant,Bloating,6,4
138,2024-11-26,Afternoon,boiled eggs,Medium,No,Okay,Medium,Restaurant,Nausea,7,2
139,2024-11-26,Evening,upma,Small,No,Okay,Medium,Restaurant,None,0,0
140,2024-11-27,Morning,naan,Large,No,Poor,High,Street,None,0,0
141,2024-11-27,Afternoon,omelette,Medium,No,Poor,High,Office,Nausea,4,4
142,2024-11-28,Morning,poha,Medium,No,Poor,Medium,Office,None,0,0
143,2024-11-28,Afternoon,pasta,Small,Yes,Poor,Medium,Home,Bloating,7,4
144,2024-11-29,Morning,poha,Large,Yes,Okay,High,Home,None,0,0
145,2024-11-29,Afternoon,butter chicken,Small,Yes,Okay,High,Street,Nausea,10,1
146,2024-11-29,Evening,poha,Medium,Yes,Okay,High,Street,Acidity,5,2
147,2024-11-30,Morning,dal,Large,No,Good,Low,Restaurant,None,0,0
148,2024-11-30,Afternoon,fish,Medium,Yes,Good,Low,Office,Fatigue,7,2
149,2024-12-01,Morning,omelette,Small,No,Good,Low,Home,None,0,0
150,2024-12-01,Afternoon,salad,Small,Yes,Good,Low,Home,None,0,0
151,2024-12-02,Morning,paratha,Small,Yes,Good,High,Office,None,0,0
152,2024-12-02,Afternoon,paratha,Medium,No,Good,High,Street,Bloating,10,1
153,2024-12-02,Evening,chole,Large,No,Good,High,Office,None,0,0
154,2024-12-03,Morning,pulao,Medium,No,Okay,High,Office,None,0,0
155,2024-12-03,Afternoon,chole,Large,Yes,Okay,High,Home,Gas,8,2
156,2024-12-04,Morning,dal,Medium,Yes,Okay,High,Street,None,0,0
157,2024-12-04,Afternoon,egg curry,Small,No,Okay,High,Home,None,0,0
158,2024-12-04,Evening,boiled eggs,Large,No,Okay,High,Restaurant,None,0,0
159,2024-12-05,Morning,naan,Large,No,Good,Low,Office,None,0,0
160,2024-12-05,Afternoon,rice,Medium,No,Good,Low,Restaurant,None,0,0
161,2024-12-06,Morning,fish,Large,Yes,Poor,High,Restaurant,Acidity,9,4
162,2024-12-06,Afternoon,omelette,Small,Yes,Poor,High,Restaurant,None,0,0
163,2024-12-07,Morning,egg curry,Medium,No,Okay,High,Restaurant,None,0,0
164,2024-12-07,Afternoon,pasta,Medium,No,Okay,High,Street,None,0,0
165,2024-12-07,Evening,naan,Medium,No,Okay,High,Office,None,0,0
166,2024-12-08,Morning,whole wheat bread,Medium,Yes,Okay,Low,Home,Brain fog,7,2
167,2024-12-08,Afternoon,butter chicken,Small,Yes,Okay,Low,Street,None,0,0
168,2024-12-08,Evening,dosa,Small,Yes,Okay,Low,Home,None,0,0
169,2024-12-09,Morning,butter chicken,Large,No,Poor,High,Restaurant,Gas,7,3
170,2024-12-09,Afternoon,paratha,Medium,Yes,Poor,High,Home,Bloating,5,4
171,2024-12-10,Morning,overnight oats,Small,No,Okay,Medium,Street,None,0,0
172,2024-12-10,Afternoon,fish,Large,Yes,Okay,Medium,Restaurant,None,0,0
173,2024-12-11,Morning,egg curry,Small,No,Good,Low,Restaurant,None,0,0
174,2024-12-11,Afternoon,idli,Medium,No,Good,Low,Home,None,0,0
175,2024-12-12,Morning,egg curry,Small,Yes,Good,Low,Home,None,0,0
176,2024-12-12,Afternoon,naan,Small,No,Good,Low,Street,None,0,0
177,2024-12-13,Morning,rajma,Small,Yes,Poor,Low,Home,None,0,0
178,2024-12-13,Afternoon,idli,Large,No,Poor,Low,Home,None,0,0
179,2024-12-14,Morning,poha,Large,Yes,Okay,Medium,Home,Nausea,4,1
180,2024-12-14,Afternoon,fish,Large,No,Okay,Medium,Street,Fatigue,6,1
181,2024-12-14,Evening,overnight oats,Medium,No,Okay,Medium,Street,Bloating,10,2
182,2024-12-15,Morning,omelette,Large,No,Good,High,Street,None,0,0
183,2024-12-15,Afternoon,pulao,Large,No,Good,High,Restaurant,Fatigue,8,4
184,2024-12-15,Evening,curd,Large,Yes,Good,High,Office,None,0,0
185,2024-12-16,Morning,boiled eggs,Small,No,Poor,Medium,Home,Bloating,5,3
186,2024-12-16,Afternoon,chicken curry,Small,No,Poor,Medium,Street,Fatigue,9,1
187,2024-12-16,Evening,chole,Medium,No,Poor,Medium,Home,Bloating,7,4
188,2024-12-17,Morning,vegetables,Medium,Yes,Good,Low,Restaurant,None,0,0
189,2024-12-17,Afternoon,roti,Large,No,Good,Low,Street,None,0,0
190,2024-12-17,Evening,pulao,Small,No,Good,Low,Office,None,0,0
191,2024-12-18,Morning,poha,Medium,Yes,Poor,Medium,Home,None,0,0
192,2024-12-18,Afternoon,boiled eggs,Large,Yes,Poor,Medium,Restaurant,None,0,0
193,2024-12-19,Morning,fish,Small,Yes,Poor,Medium,Street,Nausea,5,4
194,2024-12-19,Afternoon,biryani,Medium,No,Poor,Medium,Home,None,0,0
195,2024-12-20,Morning,curd,Small,Yes,Poor,Medium,Restaurant,Gas,5,1
196,2024-12-20,Afternoon,upma,Small,Yes,Poor,Medium,Office,Nausea,10,1
197,2024-12-20,Evening,paneer curry,Medium,Yes,Poor,Medium,Office,Bloating,6,4
198,2024-12-21,Morning,upma,Large,No,Poor,Low,Restaurant,None,0,0
199,2024-12-21,Afternoon,pulao,Large,Yes,Poor,Low,Office,Nausea,4,4
200,2024-12-21,Evening,curd,Medium,No,Poor,Low,Restaurant,Gas,3,1
201,2024-12-22,Morning,chole,Small,No,Good,Low,Street,None,0,0
202,2024-12-22,Afternoon,pasta,Large,No,Good,Low,Street,Fatigue,5,2
203,2024-12-22,Evening,omelette,Large,Yes,Good,Low,Street,Fatigue,7,2
204,2024-12-23,Morning,pulao,Medium,No,Okay,High,Street,None,0,0
205,2024-12-23,Afternoon,roti,Large,Yes,Okay,High,Home,Fatigue,10,2
206,2024-12-24,Morning,beans curry,Small,No,Good,High,Street,None,0,0
207,2024-12-24,Afternoon,bread,Medium,Yes,Good,High,Home,Bowel movement,7,3
208,2024-12-25,Morning,rajma,Medium,No,Good,Medium,Office,None,0,0
209,2024-12-25,Afternoon,curd,Large,No,Good,Medium,Office,Gas,7,2
210,2024-12-25,Evening,milk,Large,Yes,Good,Medium,Office,Acidity,5,3
211,2024-12-26,Morning,dal,Small,No,Good,Medium,Restaurant,None,0,0
212,2024-12-26,Afternoon,boiled eggs,Large,No,Good,Medium,Office,None,0,0
213,2024-12-26,Evening,butter chicken,Small,Yes,Good,Medium,Office,Gas,7,1
214,2024-12-27,Morning,biryani,Large,Yes,Poor,Medium,Home,None,0,0
215,2024-12-27,Afternoon,boiled eggs,Large,No,Poor,Medium,Home,None,0,0
216,2024-12-27,Evening,upma,Small,No,Poor,Medium,Office,None,0,0
217,2024-12-28,Morning,poha,Medium,No,Okay,Medium,Street,None,0,0
218,2024-12-28,Afternoon,poha,Small,No,Okay,Medium,Home,None,0,0
219,2024-12-29,Morning,poha,Small,No,Good,High,Home,Gas,6,1
220,2024-12-29,Afternoon,paneer curry,Small,Yes,Good,High,Office,Acidity,6,4
